"Polynomial Degree","a","b"
421,"{-2.234155}","{}"
422,"{-2.23416, 2.23416}","{}"
423,"{-2.234164}","{}"
424,"{-2.234169, 2.234169}","{0. - 1.*I, 0. + 1.*I}"
425,"{-2.234173}","{}"
426,"{-2.234177, 2.234177}","{}"
427,"{-2.234182}","{}"
428,"{-2.234186, 2.234186}","{0. - 1.*I, 0. + 1.*I}"
429,"{-2.234191}","{}"
430,"{-2.234195, 2.234195}","{}"
431,"{-2.234199}","{}"
432,"{-2.234204, 2.234204}","{0. - 1.*I, 0. + 1.*I}"
433,"{-2.234208}","{}"
434,"{-2.234212, 2.234212}","{}"
435,"{-2.234217}","{}"
436,"{-2.234221, 2.234221}","{0. - 1.*I, 0. + 1.*I}"
437,"{-2.234225}","{}"
438,"{-2.234229, 2.234229}","{}"
439,"{-2.234233}","{}"
440,"{-2.234238, 2.234238}","{0. - 1.*I, 0. + 1.*I}"
441,"{-2.234242}","{}"
442,"{-2.234246, 2.234246}","{}"
443,"{-2.23425}","{}"
444,"{-2.234254, 2.234254}","{0. - 1.*I, 0. + 1.*I}"
445,"{-2.234258}","{}"
446,"{-2.234262, 2.234262}","{}"
447,"{-2.234266}","{}"
448,"{-2.23427, 2.23427}","{0. - 1.*I, 0. + 1.*I}"
449,"{-2.234274}","{}"
450,"{-2.234278, 2.234278}","{}"
451,"{-2.234282}","{}"
452,"{-2.234286, 2.234286}","{0. - 1.*I, 0. + 1.*I}"
453,"{-2.23429}","{}"
454,"{-2.234294, 2.234294}","{}"
455,"{-2.234298}","{}"
456,"{-2.234302, 2.234302}","{0. - 1.*I, 0. + 1.*I}"
457,"{-2.234306}","{}"
458,"{-2.23431, 2.23431}","{}"
459,"{-2.234313}","{}"
460,"{-2.234317, 2.234317}","{0. - 1.*I, 0. + 1.*I}"
461,"{-2.234321}","{}"
462,"{-2.234325, 2.234325}","{}"
463,"{-2.234329}","{}"
464,"{-2.234332, 2.234332}","{0. - 1.*I, 0. + 1.*I}"
465,"{-2.234336}","{}"
466,"{-2.23434, 2.23434}","{}"
467,"{-2.234344}","{}"
468,"{-2.234347, 2.234347}","{0. - 1.*I, 0. + 1.*I}"
469,"{-2.234351}","{}"
470,"{-2.234355, 2.234355}","{}"
471,"{-2.234358}","{}"
472,"{-2.234362, 2.234362}","{0. - 1.*I, 0. + 1.*I}"
473,"{-2.234365}","{}"
474,"{-2.234369, 2.234369}","{}"
475,"{-2.234373}","{}"
476,"{-2.234376, 2.234376}","{0. - 1.*I, 0. + 1.*I}"
477,"{-2.23438}","{}"
478,"{-2.234383, 2.234383}","{}"
479,"{-2.234387}","{}"
480,"{-2.23439, 2.23439}","{0. - 1.*I, 0. + 1.*I}"
481,"{-2.234394}","{}"
482,"{-2.234397, 2.234397}","{}"
483,"{-2.234401}","{}"
484,"{-2.234404, 2.234404}","{0. - 1.*I, 0. + 1.*I}"
485,"{-2.234408}","{}"
486,"{-2.234411, 2.234411}","{}"
487,"{-2.234414}","{}"
488,"{-2.234418, 2.234418}","{0. - 1.*I, 0. + 1.*I}"
489,"{-2.234421}","{}"
490,"{-2.234425, 2.234425}","{}"
491,"{-2.234428}","{}"
492,"{-2.234431, 2.234431}","{0. - 1.*I, 0. + 1.*I}"
493,"{-2.234435}","{}"
494,"{-2.234438, 2.234438}","{}"
495,"{-2.234441}","{}"
496,"{-2.234444, 2.234444}","{0. - 1.*I, 0. + 1.*I}"
497,"{-2.234448}","{}"
498,"{-2.234451, 2.234451}","{}"
499,"{-2.234454}","{}"
500,"{-2.234457, 2.234457}","{0. - 1.*I, 0. + 1.*I}"
